IN_LOCAL_FUNC_SALAS_OUTRA_ESC;IN_ESGOTO_REDE_PUBLICA;IN_ESGOTO_INEXISTENTE;IN_SALA_DIRETORIA;IN_LABORATORIO_INFORMATICA;IN_BANHEIRO_DENTRO_PREDIO;IN_SECRETARIA;IN_AUDITORIO;IN_LAVANDERIA;IN_EQUIP_TV;IN_EQUIP_COPIADORA;IN_EQUIP_IMPRESSORA;IN_BANDA_LARGA;IN_EDUCACAO_INDIGENA;IN_COMUM_EJA_FUND;TX_RESP_Q004_C;TX_RESP_Q015_A;TX_RESP_Q034_A;TX_RESP_Q041_C;TX_RESP_Q056_C
0.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.21611721611721613;0.16666666666666666;0.2814070351758794;0.09302325581395349;0.13043478260869565
0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.08058608058608059;0.0;0.135678391959799;0.06976744186046512;0.08695652173913043
0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.09523809523809523;0.0;0.11557788944723617;0.06976744186046512;0.08695652173913043
0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.10989010989010989;0.08333333333333333;0.04522613065326633;0.09302325581395349;0.0
0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.2271062271062271;0.08333333333333333;0.22110552763819097;0.32558139534883723;0.13043478260869565
1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.10622710622710622;0.08333333333333333;0.17085427135678394;0.2558139534883721;0.21739130434782608
0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.16483516483516483;0.16666666666666666;0.135678391959799;0.23255813953488372;0.3913043478260869
0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.1391941391941392;0.16666666666666666;0.08542713567839195;0.13953488372093023;0.043478260869565216
1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.09157509157509157;0.16666666666666666;0.11557788944723617;0.37209302325581395;0.043478260869565216
0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.5787545787545788;0.9166666666666666;0.6331658291457286;0.3023255813953488;0.2608695652173913
0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.06593406593406594;0.3333333333333333;0.1306532663316583;0.16279069767441862;0.13043478260869565
0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.6666666666666666;1.0;0.3488372093023256;1.0
0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.1391941391941392;0.5;0.15075376884422112;0.18604651162790697;0.34782608695652173
0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.040293040293040296;0.41666666666666663;0.08040201005025126;0.2558139534883721;0.0
0.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.07692307692307693;0.08333333333333333;0.1206030150753769;0.27906976744186046;0.13043478260869565
0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.040293040293040296;0.08333333333333333;0.135678391959799;0.27906976744186046;0.043478260869565216
