IN_AUDITORIO;IN_PATIO_COBERTO;NU_EQUIP_IMPRESSORA;NU_EQUIP_MULTIMIDIA;IN_EJA;IN_COMUM_EJA_MEDIO;TX_RESP_Q004_C;TX_RESP_Q004_F;TX_RESP_Q004_G;TX_RESP_Q004_H;TX_RESP_Q013_C;TX_RESP_Q018_B;TX_RESP_Q019_F;TX_RESP_Q023_F;TX_RESP_Q041_C;TX_RESP_Q042_B;TX_RESP_Q042_C
0.0;0.0;0.0;0.625;1.0;1.0;0.304029304029304;0.4883720930232558;0.4375;0.12903225806451613;0.16981132075471697;0.5058823529411764;0.14285714285714285;0.11627906976744186;0.3488372093023256;0.2909090909090909;0.23529411764705882
1.0;1.0;0.16666666666666666;0.125;1.0;1.0;0.4065934065934066;0.16279069767441862;0.1875;0.0967741935483871;0.22641509433962265;0.3529411764705882;0.3333333333333333;0.32558139534883723;0.11627906976744186;0.21818181818181817;0.1764705882352941
0.0;0.0;0.0;0.1875;1.0;1.0;0.10256410256410256;0.09302325581395349;0.0625;0.0967741935483871;0.0;0.12941176470588234;0.011904761904761904;0.046511627906976744;0.046511627906976744;0.05454545454545454;0.11764705882352941
0.0;1.0;0.0;0.0625;1.0;1.0;0.1684981684981685;0.13953488372093023;0.3125;0.29032258064516125;0.11320754716981132;0.2823529411764706;0.14285714285714285;0.023255813953488372;0.20930232558139533;0.39999999999999997;0.47058823529411764
0.0;1.0;0.0;0.0;1.0;1.0;0.0695970695970696;0.13953488372093023;0.0;0.0967741935483871;0.07547169811320754;0.08235294117647059;0.07142857142857142;0.046511627906976744;0.09302325581395349;0.05454545454545454;0.058823529411764705
0.0;1.0;0.16666666666666666;0.125;0.0;0.0;0.047619047619047616;0.11627906976744186;0.0;0.06451612903225806;0.018867924528301886;0.08235294117647059;0.03571428571428571;0.0;0.09302325581395349;0.05454545454545454;0.058823529411764705
0.0;1.0;0.0;0.0;1.0;1.0;0.21245421245421245;0.16279069767441862;0.0625;0.0;0.11320754716981132;0.21176470588235294;0.09523809523809523;0.09302325581395349;0.18604651162790697;0.09090909090909091;0.11764705882352941
0.0;1.0;0.0;0.1875;1.0;1.0;0.1575091575091575;0.20930232558139533;0.125;0.12903225806451613;0.07547169811320754;0.12941176470588234;0.08333333333333333;0.046511627906976744;0.20930232558139533;0.10909090909090909;0.058823529411764705
1.0;1.0;0.5;0.0625;0.0;0.0;0.1391941391941392;0.23255813953488372;0.0625;0.0967741935483871;0.18867924528301885;0.22352941176470587;0.14285714285714285;0.06976744186046512;0.20930232558139533;0.21818181818181817;0.1764705882352941
0.0;1.0;0.0;0.3125;1.0;1.0;0.1684981684981685;0.11627906976744186;0.1875;0.22580645161290322;0.03773584905660377;0.15294117647058825;0.11904761904761904;0.046511627906976744;0.23255813953488372;0.10909090909090909;0.11764705882352941
